3601	30582427_4	I ca n't imagine anyone who loves their firearm would run very much steel through it .	train	0.0
5647	31746223_1	Negroids have a very different hair type then whites , black hair is referring to there hair type and how they manage/take care of it because its different then ours .	train	0.0
200	13498604_2	It 's an unfair representation of a nation Some random bulgarians [ IMG ] http://photos-b.ak.fbcdn.net/hphotos-ak-snc3/hs477.snc3/26143_100549093315633_100000816283788_13289_6985315_n.jpg [ /IMG ]	train	0.0
1629	14112132_1	im from nepa not looking for a relationship just someone to talk to my brother goes to ps in state college so im down there quite often xxboobearxx@aol.com	train	0.0
3377	30636407_3	Mossberg 590a1 with bayonet 3 .	train	0.0
3313	30404643_3	Seems like our message is getting to the right people .	train	0.0
2399	30641011_3	Thanks for the share .	train	0.0
2950	14023217_1	I remember this story from last Christmas .	train	0.0
2879	13865891_3	16	train	0.0
3734	30404643_1	I had a great time as usual on Friday night !	train	0.0
1395	30447391_3	A few weeks ago I heard a teacher tell his classroom that Blacks and Latinos can be proud of their culture , but whites should feel ashamed of their history and culture .	train	0.0
5309	31775700_1	Welcome, Sir .	train	0.0
417	13391410_1	they act as if negros with aids should have the right to reproduce when they will die off and have no way to take care of the kid I cant believe that they are doing this by the millions its crazy	train	1.0
5265	30593035_2	Responsible Body Armor Possession Act Keeps Military Armor out of the Wrong Hands | Congressman Mike Honda It seems that our enemies in Congress are once again introducing a bill which is designed to restrict civilian access to certain types of body armor ( level III and IV rifle plates ) .	train	0.0
2519	13844825_2	What gets me is in absolutely no way would I behave in such a fashion in a foreign country , that is totally disrespectful .	train	0.0
4033	14075143_1	This information was denied by the protesters in the Administration building .	train	0.0
4217	30663322_8	Very few parents are sending their children out in the dark even in our all-white community .	train	0.0
5393	30518100_1	I am not having my cats put in a pet cemetary-they 're being interred in the same plot as I.Naturally we will probably not pass on at the same time but we 'll be sharing the plot .	train	0.0
4691	13600405_2	Then they show some shame in their face and turn away their eyes and do not disturb me with their staring .	train	0.0
1457	13468824_2	This is the main logo when you sign on to their website	train	0.0
660	14019691_2	Beefcake ? s Bootcamp | White GeNOcide Project	train	0.0
2588	14673601_4	Negroids could n't put together a bake sale properly much less a work force .	train	1.0
1791	14409759_2	Click to enlarge , then save to desktop to use ! cb punet square1.PNG cbr punet square1.PNG ca punet square1.PNG I made these a few days ago and was using them on Craig 's List in Europe .	train	0.0
5015	14037748_3	Something mysterious must be happening there	train	0.0
4148	14092211_1	I live in Napervile , and CF < let me know when ya have a date for that get together , I would love to go .	train	0.0
6051	14098769_21	Still snow up there and that is on a south face slope so it gets sun there .	train	0.0
4999	14408032_1	Why did you say you were a member of the `` white knights '' when it appears your a member of the knights party ?	train	0.0
367	13050074_2	Maybe they are not so uneducated and knows about their fate .	train	0.0
4726	14098016_4	Only the crazy ones stay .	train	0.0
3792	30542596_8	And hey , we have not talked about women 's mitochondriat at all ?	train	0.0
1206	13288494_1	Excellent Article !! * * * * * Why Were n't They In Jail ?	train	0.0
2141	31783508_2	You will find several compatriots there .	train	0.0
5336	14667139_2	I 've seen this happen many times on this site during my lurking days .	train	0.0
1809	30571520_7	See Jeff Cooper for further instruction .	train	0.0
2442	30576955_2	YEH YAY !!!	train	0.0
1191	31330843_3	I 'd like to see Iran wipe Israel off the map .	train	1.0
3613	13600175_2	Thank You for Proving What I said	train	0.0
4631	14266973_1	Here is a synosis I just found on google : There is much more to this as I hope to show when my package arrives .	train	0.0
2748	14093911_2	I swear , you ca n't take us anywhere .....	train	0.0
3270	13586441_3	But on a humourous note it could also mean `` burnt earth '' ( svidd jord ) .	train	0.0
1853	13479789_2	No matter how many times I browse through it , its impact does n't lessen .	train	0.0
6506	13589956_4	She is classic meditteranean White .	train	0.0
3672	14439692_3	Then keep changing the name of the file as new movies come out .	train	0.0
4193	14288369_2	At least half of all humans are of below-average intelligence .	train	0.0
2858	14105605_1	I can think of some yummier spots than the back of my head where I 'd like to be held. but that 's just me .	train	0.0
5005	33014710_1	How many white lives would it have saved so far if we had no non whites here , just in the USA and Canada ?	train	0.0
1075	13948582_2	50 shades of brown	train	1.0
1560	30613071_1	For practice use a .22 LR to learn .	train	0.0
774	30623737_10	If there 's adult situations in it , it will indicate so on the package .	train	0.0
582	14098049_2	I need them to build a little fort around me at night .	train	0.0
2169	13861380_1	That doesn`t sound to bad , wait till you see 30 kids , 5 of which are white !	train	0.0
690	31728633_4	Blue eyed Devils are really good as well .	train	0.0
6240	14018249_1	It would be funny.Even more so if one of them discovered that a Great Grand Father had been in the KKK. !	train	0.0
1392	30641150_1	hey man at least you have the balls to get in the cage. most people dont .	train	0.0
3453	14034270_1	I'm going to say UKIP as they seem like at least a small step in the right direction but at the same time i 'm not sure what to make of all the theory 's that they are a distraction party and will just do the same as all the others when they get in ?	train	0.0
3957	13501530_5	The U.S. Marshals Service said Barion A. Blake was killed about 12 : 30 p.m. at The Colonnade at Regency apartments in the 900 block of Monument Road .	train	0.0
1147	30680055_4	I will grin and bear it and keep on getting respectable grades .	train	0.0
6328	14026936_2	But remember , lots of people I hear say that their parents would kick off if their brought back a non-white home to introduce him/her as their partner .	train	0.0
1160	14297717_1	88 all , this is my first post and i 've read this whole thread so i guess I have a few comment 's , let 's start , shall we ?	train	0.0
4408	30793540_2	You can search for maps of where the language was spoken over time .	train	0.0
2485	30390500_1	Hungary must stick to its guns it is a sad day when sticking to ones guns means simply enforcing the law as proscribed	train	0.0
4729	30739023_16	Maybe it would give him a better appreciation for math if he actually applied it to something while he was having fun .	train	0.0
2792	13866882_1	Of course if people would stop going to these places then they would never be able to earn enough money to start up foreign cesspits in Irish towns .	train	0.0
3550	30651329_1	Your sons are going to be in love with that land !	train	0.0
3066	14104760_1	Hey there I 'm just up the mountain from u .	train	0.0
6353	30641263_1	I'll update my list a bit .	train	0.0
